              value  count     ratio
          복통,그 밖의출혈    214  0.017118
           두통,복통,설사    214  0.017118
         호흡곤란,고열,기침    213  0.017038
       흉통,기타통증,호흡곤란    212  0.016958
         어지러움,경련/발작    211  0.016878
        복통,오심/구토,고열    209  0.016718
            의식장애,열상    209  0.016718
            설사,어지러움    208  0.016638
      기타통증,오심/구토,기타    207  0.016558
        요통,기타통증,타박상    207  0.016558
           고열,오심,구토    207  0.016558
            기타통증,기침    206  0.016478
         복통,호흡곤란,기타    206  0.016478
         실신,기타,어지러움    204  0.016318
         의식장애,고열,기타    204  0.016318
          두통,그 밖의출혈    203  0.016238
       전신쇠약,설사,어지러움    202  0.016158
              복통,토혈    200  0.015998
         전신쇠약,설사,구토    199  0.015918
              요통,열상    197  0.015758
         두통,찰과상,타박상    197  0.015758
         고열,전신쇠약,구토    197  0.015758
            토혈,전신쇠약    195  0.015598
       흉통,호흡곤란,어지러움    195  0.015598
           경련/발작,구토    194  0.015518
      그 밖의출혈,찰과상,기타    193  0.015438
           찰과상,전신쇠약    193  0.015438
      호흡곤란,기타,가슴불편감    192  0.015358
       의식장애,고열,전신쇠약    190  0.015198
         고열,기타,어지러움    190  0.015198
           두통,복통,기타    190  0.015198
     호흡곤란,전신쇠약,어지러움    189  0.015118
           복통,고열,구토    189  0.015118
       두통,기타통증,경추통증    189  0.015118
          두통,열상,찰과상    188  0.015038
      복통,오심/구토,어지러움    188  0.015038
     의식장애,호흡곤란,전신쇠약    188  0.015038
           두통,경련/발작    188  0.015038
      오심/구토,고열,전신쇠약    187  0.014958
           기타이물질,기타    186  0.014878
기타통증,그 밖의출혈,그밖의통증기타    186  0.014878
     요통,기타통증,그 밖의출혈    184  0.014718
              골절,기타    184  0.014718
         골절,찰과상,타박상    184  0.014718
         복통,기타통증,고열    184  0.014718
            호흡곤란,구토    184  0.014718
      두통,오심/구토,전신쇠약    183  0.014638
         흉통,기타통증,기타    183  0.014638
           비출혈,어지러움    181  0.014478
            비출혈,찰과상    181  0.014478
          의식장애,어지러움    179  0.014318
    기타통증,그밖의통증기타,오심    179  0.014318
          배뇨장애,전신쇠약    176  0.014078
    호흡곤란,어지러움,가슴불편감    176  0.014078
          골절,열상,찰과상    174  0.013918
         복통,전신쇠약,구토    174  0.013918
        기타통증,염좌,타박상    173  0.013838
         고열,어지러움,오심    173  0.013838
         두통,호흡곤란,기타    172  0.013758
           고열,기타,구토    172  0.013758
         두통,전신쇠약,오심    171  0.013678
        그 밖의출혈,전신쇠약    170  0.013598
        두통,기타통증,타박상    170  0.013598
      오심/구토,전신쇠약,설사    168  0.013438
             실신,찰과상    168  0.013438
            배뇨장애,변비    168  0.013438
         기타,전신쇠약,설사    168  0.013438
         기타통증,기타,기침    167  0.013358
            토혈,어지러움    167  0.013358
              복통,실신    166  0.013278
      오심/구토,설사,어지러움    166  0.013278
        의식장애,그 밖의출혈    165  0.013198
          두통,찰과상,기타    165  0.013198
           고열,설사,구토    165  0.013198
     기타통증,전신쇠약,어지러움    164  0.013118
         고열,전신쇠약,오심    164  0.013118
       기타통증,호흡곤란,고열    162  0.012958
       기타통증,비출혈,찰과상    161  0.012878
         요통,기타통증,고열    161  0.012878
         기타,어지러움,마비    161  0.012878
              발작,경련    160  0.012798
              골절,탈구    160  0.012798
        그 밖의출혈,어지러움    159  0.012718
           복통,고열,오심    158  0.012638
           실신,오심/구토    157  0.012558
            의식장애,실신    157  0.012558
           두통,복통,오심    157  0.012558
            의식장애,경련    156  0.012478
         염좌,찰과상,타박상    155  0.012398
         두통,복통,어지러움    155  0.012398
       기타통증,어지러움,오심    155  0.012398
              실신,오심    154  0.012318
         두통,복통,전신쇠약    153  0.012238
         두통,흉통,기타통증    153  0.012238
           두통,고열,기침    152  0.012158
       호흡곤란,어지러움,오심    152  0.012158
             비출혈,기타    151  0.012078
            열상,전신쇠약    151  0.012078
             비출혈,열상    150  0.011998
            두통,의식장애    150  0.011998
              토혈,기타    150  0.011998
         전신쇠약,경련/발작    150  0.011998
      기타통증,찰과상,경추통증    150  0.011998
            배뇨장애,고열    147  0.011758
