연월,시간대,지역,평균기온,중앙기온,최저기온,최고기온,기온표준편차,평균습도,중앙습도,최저습도,최고습도,습도표준편차,평균풍속,중앙풍속,최저풍속,최고풍속,풍속표준편차
201805,4,부산,16.05185185185185,16.5,10.6,20.9,2.883823633032843,78.76,78.0,40.0,97.0,15.40097399517316,3.4064516129032256,3.3,0.6,10.7,2.30708119837902
201805,5,부산,15.618518518518519,16.5,10.1,20.9,3.0447984696524197,81.30434782608695,80.0,49.0,97.0,13.411103888564929,3.3193548387096774,3.2,0.3,7.6,2.0507591041430993
201805,6,부산,15.58148148148148,16.2,10.0,20.9,3.0360699592929015,80.29166666666667,79.5,53.0,97.0,14.60339200223751,3.4419354838709677,3.3,0.8,7.9,1.8042125140068517
201805,7,부산,16.557142857142857,16.65,11.1,21.1,3.060552911972627,78.77777777777777,80.0,45.0,97.0,15.06481722254598,3.2483870967741937,3.4,0.7,9.3,2.003475474892224
201805,8,부산,17.393103448275863,17.1,12.2,21.9,2.9686373779519464,72.17241379310344,75.0,42.0,97.0,18.63381903482644,3.4838709677419355,3.3,0.8,7.7,1.9282283360974217
201805,9,부산,18.52258064516129,18.0,12.7,24.0,3.113594886667108,69.38709677419355,67.0,34.0,97.0,19.99779557743776,3.5935483870967744,3.1,0.9,8.3,1.8248169741777702
201805,10,부산,19.283870967741933,19.2,13.7,25.0,3.1577520246945254,67.41935483870968,66.0,31.0,97.0,21.43482243694185,4.087096774193548,3.7,0.8,9.5,1.9205453974472757
201805,11,부산,19.76774193548387,19.3,14.6,25.9,3.2003528031322013,66.63333333333334,62.0,34.0,97.0,19.86069299991271,3.764516129032258,3.4,0.3,8.0,1.8653951122298946
201805,12,부산,20.310344827586206,20.2,15.3,25.4,3.08942260296393,67.27586206896552,62.0,28.0,97.0,19.870826698821098,4.354838709677419,4.1,0.9,10.6,2.4769387974779704
201805,13,부산,20.46206896551724,20.8,15.4,25.3,3.08700198911309,67.36666666666666,61.0,27.0,97.0,18.90718406308571,4.645161290322581,4.2,1.0,11.0,2.290536867152534
201805,14,부산,20.68888888888889,21.5,15.3,24.4,2.988096040745335,68.78571428571429,64.0,42.0,97.0,16.947319558314824,4.612903225806452,4.0,1.1,10.6,2.3019907233354746
201805,15,부산,19.94333333333333,21.1,14.7,24.0,2.8861958417234277,68.28571428571429,67.0,34.0,97.0,18.30777439162399,5.141935483870968,4.2,1.9,11.7,2.64332797732308
201805,16,부산,19.58709677419355,20.4,14.4,24.6,2.952483918723788,69.24137931034483,68.0,39.0,97.0,16.952992092450803,5.122580645161291,4.5,1.3,12.4,2.9132696038894577
201805,17,부산,19.15806451612903,20.1,14.1,24.5,3.0562257981098595,70.66666666666667,70.5,45.0,97.0,15.33383307531451,4.34516129032258,3.8,0.8,10.6,2.479763256129829
201805,18,부산,18.44193548387097,19.1,13.3,23.5,2.8000921643817804,72.2,72.0,46.0,97.0,14.70256838927741,3.838709677419355,3.5,0.8,9.4,2.270048078691263
201805,19,부산,17.851612903225806,18.4,12.2,21.7,2.7902056038629035,73.76666666666667,74.5,44.0,97.0,15.529023623932178,3.7903225806451615,3.4,0.0,10.4,2.4714846872153156
201805,20,부산,17.363333333333333,17.45,11.6,21.2,2.8406511314441123,75.25806451612904,79.0,36.0,97.0,15.918475098525162,3.9516129032258065,3.3,0.7,11.4,2.429522719622373
201805,21,부산,17.03793103448276,17.2,11.5,21.0,2.840826563960295,75.83870967741936,79.0,38.0,97.0,15.985611810194714,3.9838709677419355,2.7,0.8,11.3,2.59539294060245
201805,22,부산,17.03103448275862,17.7,11.3,21.2,2.8454353731993605,77.7,80.5,43.0,97.0,15.058850072872145,3.7064516129032254,2.9,0.3,13.1,2.697645329278971
201805,23,부산,16.889655172413793,17.4,11.6,21.4,2.8622349942940706,76.3,77.0,43.0,97.0,15.093158989285909,3.5354838709677416,2.8,0.6,10.2,2.450244666299915
201806,0,부산,20.026666666666664,20.25,16.2,23.4,1.9826720620786316,79.03333333333333,78.0,48.0,97.0,11.874293687403584,2.9566666666666666,2.55,0.0,11.8,2.18705964369001
201806,1,부산,19.896666666666665,20.05,15.9,23.4,1.989018703355717,79.6896551724138,79.0,62.0,98.0,11.023039016648797,2.613333333333333,2.4,0.0,10.7,2.083553551579332
