연월,시간대,지역,평균기온,중앙기온,최저기온,최고기온,기온표준편차,평균습도,중앙습도,최저습도,최고습도,습도표준편차,평균풍속,중앙풍속,최저풍속,최고풍속,풍속표준편차
202406,10,서울,25.39,25.4,18.2,30.6,2.70763288908762,57.8,53.0,40.0,93.0,14.458978835502778,2.1233333333333335,1.9,0.9,5.2,0.8857816860842738
202406,11,서울,26.646666666666665,26.9,18.9,32.0,2.9679591656886726,54.1,48.5,33.0,92.0,15.486033752362493,2.3433333333333333,2.3,0.6,5.1,0.8970001089198923
202406,12,서울,27.68,28.1,19.5,33.6,3.3821437804629397,50.8,46.0,33.0,90.0,16.06538364696399,2.5433333333333334,2.5,1.0,3.9,0.6760347539185744
202406,13,서울,28.593333333333337,29.55,20.5,34.7,3.5612796357037393,48.06666666666667,42.5,32.0,91.0,16.77422763180702,2.6933333333333334,2.7,1.6,4.4,0.7651609401739062
202406,14,서울,29.14,29.6,21.9,35.3,3.4688366329659996,46.6,40.5,30.0,92.0,16.110823091625555,2.8733333333333335,2.75,1.8,4.3,0.6383887764403894
202406,15,서울,29.383333333333333,29.75,23.1,35.4,3.274360514911147,46.13333333333333,42.0,29.0,90.0,14.956796018079435,3.1233333333333335,3.1,1.7,4.6,0.693657638565474
202406,16,서울,29.23,29.35,23.5,35.6,2.92258152300679,45.93333333333333,41.5,29.0,90.0,14.287523694935151,3.39,3.5,1.2,5.5,1.069434268747927
202406,17,서울,28.71333333333333,28.65,23.8,35.3,2.8031673382865994,47.53333333333333,44.0,30.0,88.0,13.156179440523923,3.57,3.5,2.1,4.6,0.6659967898856053
202406,18,서울,27.896666666666665,27.65,23.8,34.8,2.7246617421609236,49.46666666666667,46.5,28.0,88.0,13.495167291659822,3.2133333333333334,3.3,1.6,4.5,0.8299286771737692
202406,19,서울,26.58,26.05,22.3,33.6,2.5771408910678133,52.666666666666664,52.0,31.0,87.0,13.817363722139078,3.11,3.05,2.0,5.5,0.776974681165618
202406,20,서울,25.15,24.700000000000003,20.8,32.0,2.4344864218005084,56.96666666666667,54.0,34.0,90.0,14.898468639967392,2.566666666666667,2.5,1.2,4.0,0.6784024506570353
202406,21,서울,24.19333333333333,23.8,20.2,30.1,2.259223750322882,60.0,58.0,34.0,91.0,14.68755044011882,2.42,2.4,0.8,3.6,0.6784363360470645
202406,22,서울,23.453333333333333,23.1,19.7,29.1,2.162810007013278,62.53333333333333,60.0,35.0,93.0,14.654017533941245,2.14,2.1,0.9,3.6,0.7117729200069164
202406,23,서울,22.836666666666666,22.65,18.9,28.3,2.0760511809074282,64.23333333333333,63.0,36.0,93.0,13.80075793354227,1.7733333333333334,1.85,0.5,3.2,0.678199102762976
202407,0,서울,25.61935483870968,25.6,22.8,28.2,1.6428469912195505,85.58064516129032,86.0,70.0,95.0,7.074716453910066,2.3741935483870966,2.0,0.8,5.4,1.1840517280185252
202407,1,서울,25.393548387096775,25.3,22.5,27.9,1.6749000933132236,86.09677419354838,86.0,70.0,96.0,6.6149065939975165,2.5064516129032257,1.9,0.7,7.5,1.532521991983795
202407,2,서울,25.174193548387095,25.1,22.4,27.8,1.703323758995039,86.38709677419355,86.0,72.0,96.0,6.2004162191196945,2.335483870967742,2.1,0.0,6.3,1.4281802843938094
202407,3,서울,24.96451612903226,24.4,22.2,27.7,1.7596492807937167,86.6774193548387,88.0,72.0,96.0,6.188091233836133,2.616129032258064,2.2,0.9,7.0,1.5216431412990254
202407,4,서울,24.748387096774195,24.4,21.9,27.7,1.7984939936405928,87.25806451612904,88.0,72.0,96.0,6.010921958876103,2.4064516129032256,2.2,0.6,7.3,1.5828108928676998
202407,5,서울,24.561290322580643,24.3,21.4,27.6,1.8472822234036763,87.83870967741936,89.0,72.0,97.0,5.967114177967708,2.229032258064516,2.0,0.0,6.7,1.4019494875320573
202407,6,서울,24.5,24.4,21.3,27.5,1.8233668491739823,88.29032258064517,90.0,73.0,98.0,6.045348340595419,2.07741935483871,2.2,0.4,4.5,1.1318744563538117
202407,7,서울,24.687096774193545,24.4,21.5,27.6,1.7712033452776055,87.70967741935483,89.0,71.0,97.0,6.419727659784833,2.135483870967742,2.2,0.2,4.3,0.8780844253626846
