지표,소방서,기온구간,연령대,건수,관측N,시간당평균건수,구성비
출동수,노원소방서,30 ~ 35,80세 이상,1037,51,20.333333333333332,19.003115264797508
출동수,노원소방서,30 ~ 35,9세 이하,155,51,3.0392156862745097,2.8403884918453364
출동수,노원소방서,30 ~ 35,미상,892,51,17.49019607843137,16.345977643393805
출동수,수성소방서,-5 ~ 0,10대,244,167,1.4610778443113772,2.900963024610629
출동수,수성소방서,-5 ~ 0,20대,555,167,3.3233532934131738,6.598501961716799
출동수,수성소방서,-5 ~ 0,30대,556,167,3.3293413173652695,6.610391154440613
출동수,수성소방서,-5 ~ 0,40대,685,167,4.1017964071856285,8.144097015812626
출동수,수성소방서,-5 ~ 0,50대,973,167,5.826347305389222,11.568184520271075
출동수,수성소방서,-5 ~ 0,60대,1161,167,6.952095808383233,13.803352752348117
출동수,수성소방서,-5 ~ 0,70대,1189,167,7.119760479041916,14.13625014861491
출동수,수성소방서,-5 ~ 0,80세 이상,1289,167,7.718562874251497,15.325169420996316
출동수,수성소방서,-5 ~ 0,9세 이하,539,167,3.2275449101796405,6.408274878135775
출동수,수성소방서,-5 ~ 0,미상,1220,167,7.3053892215568865,14.504815123053143
출동수,수성소방서,0 ~ 5,10대,801,361,2.218836565096953,3.5216531105737525
출동수,수성소방서,0 ~ 5,20대,1389,361,3.847645429362881,6.1068366673994285
출동수,수성소방서,0 ~ 5,30대,1330,361,3.6842105263157894,5.847438997581886
출동수,수성소방서,0 ~ 5,40대,1809,361,5.011080332409972,7.953396350846339
출동수,수성소방서,0 ~ 5,50대,2855,361,7.908587257617729,12.552209276764122
출동수,수성소방서,0 ~ 5,60대,2998,361,8.304709141274238,13.180918883271048
출동수,수성소방서,0 ~ 5,70대,3030,361,8.393351800554017,13.321609144867002
출동수,수성소방서,0 ~ 5,80세 이상,3529,361,9.77562326869806,15.515497911628929
출동수,수성소방서,0 ~ 5,9세 이하,1170,361,3.2409972299168976,5.143987689602111
출동수,수성소방서,0 ~ 5,미상,3834,361,10.620498614958448,16.85645196746538
출동수,수성소방서,5 ~ 10,10대,823,391,2.104859335038363,3.3789054481257956
출동수,수성소방서,5 ~ 10,20대,1505,391,3.8491048593350383,6.178921870509504
출동수,수성소방서,5 ~ 10,30대,1391,391,3.557544757033248,5.710883934803137
출동수,수성소방서,5 ~ 10,40대,1965,391,5.025575447570333,8.06749599704397
출동수,수성소방서,5 ~ 10,50대,2829,391,7.235294117647059,11.614730878186968
출동수,수성소방서,5 ~ 10,60대,3146,391,8.046035805626598,12.916204787124851
출동수,수성소방서,5 ~ 10,70대,3270,391,8.363171355498721,13.425298682103707
출동수,수성소방서,5 ~ 10,80세 이상,4092,391,10.46547314578005,16.800098534302254
출동수,수성소방서,5 ~ 10,9세 이하,1090,391,2.78772378516624,4.475099560701236
출동수,수성소방서,5 ~ 10,미상,4246,391,10.859335038363172,17.432360307098577
출동수,수성소방서,10 ~ 15,10대,877,363,2.4159779614325068,3.7990036820446176
출동수,수성소방서,10 ~ 15,20대,1378,363,3.796143250688705,5.969244097899069
출동수,수성소방서,10 ~ 15,30대,1334,363,3.674931129476584,5.7786441412172405
출동수,수성소방서,10 ~ 15,40대,1916,363,5.2782369146005506,8.299761750054149
출동수,수성소방서,10 ~ 15,50대,2664,363,7.338842975206612,11.539961013645224
출동수,수성소방서,10 ~ 15,60대,3042,363,8.380165289256198,13.177387914230017
출동수,수성소방서,10 ~ 15,70대,3195,363,8.801652892561984,13.840155945419102
출동수,수성소방서,10 ~ 15,80세 이상,3614,363,9.955922865013774,15.655187351093783
출동수,수성소방서,10 ~ 15,9세 이하,1250,363,3.443526170798898,5.4147714966428415
출동수,수성소방서,10 ~ 15,미상,3815,363,10.509641873278238,16.525882607753953
출동수,수성소방서,15 ~ 20,10대,937,366,2.560109289617486,3.922799966507578
출동수,수성소방서,15 ~ 20,20대,1464,366,4.0,6.129113288118563
출동수,수성소방서,15 ~ 20,30대,1494,366,4.081967213114754,6.2547098718914835
출동수,수성소방서,15 ~ 20,40대,1927,366,5.2650273224043715,8.067487231013983
출동수,수성소방서,15 ~ 20,50대,2891,366,7.898907103825136,12.10332412291719
